sentence,label
انسان عبارة عن دواء للإكتئاب❤🎤,positive
نحبك يا فنان وااااااحسااااااااان❤,positive
وحق الرب الى دوا د الاكتئاب الأسطورة❤️❤️❤️❤️😂,positive
اسطورة بكل ما تحمل الكلمة من معنى ❤,positive
أسطورة 🧜‍♂️ لن تكرر❤,positive
نحبك يا أسطورة❤️🇦🇱🇦🇱🥁🥁,positive
بقيت كنترفج البارح تانعست دابا أنكمل اللايف هههه أحسن أسطورة 💜❤,positive
نحبك يا أسطورة❤🇦🇱🇦🇱🥁🥁,positive
نحبك ايها الفنان العظيم 👏👏,positive
هنيئا لشمال افريقيا بأسطورة فالبثوث 🤩❤️,positive
نحبك يا فنااااااان ❤️,positive
ملك ستريم ❤,positive
نحبك يا رايس 🫶🏻❤️‍🔥,positive
نحبك يافنان❤,positive
الأسطووورة ❤❤❤❤❤❤❤,positive
وحق الرب الى دوا د الاكتئاب الأسطورة❤❤❤❤😂,positive
الاسطورة 👑 ❤,positive
نحبك يا حساااااااااااان ❤❤❤,positive
إحنا معك يا رايس ❤️,positive
حلاوة ❤️❤️,positive
ريجال ❤👏,positive
الأسطورة❤❤❤❤❤❤❤,positive
أسطورة ❤🎉,positive
أحسن لايف 😂😂,positive
الأسطورة❤️❤️❤️❤️❤️❤️❤️,positive
رجاااااال 👏👏👏👏,positive
العالمية ❤👑,positive
احسن ستريمر عرفتو 🎉❤❤,positive
الأسطورة❤❤,positive
هرمووووووون السعاااادة ❤❤,positive
نحبك يا فنان ❤😊😅,positive
👏👏,positive
❤❤❤,positive
افضل ستريمر😘,positive
الأ سطورة❤❤❤❤❤❤❤,positive
اسطورة يوتيوب الياس ❤,positive
رحااااال👏👏👏,positive
تحية مغربية لشعب تونس الشقيق ❤,positive
أسطورة بمعنى الكلمة ❤❤,positive
احلى بث 🇩🇿❤️🇲🇦,positive
احسن ستريم في العالم🔥🔥❤️,positive
الاسطورة محطم الارقام ❤❤,positive
👏👏❤,positive
تحياتي من موريتانيًا 🇲🇷❤️,positive
❤❤❤❤❤,positive
ستبقى الاسطورة❤,positive
يفرقنا الحدود ويجمعنا إلياس ❤ 🇲🇦🇩🇿 ‏‪,positive
احسن الياس فالعالم واحسن ستريمر كيضحكنا او يفوج علينا 🫶🏻❤️,positive
اسطورة العالم 🎉🎉❤❤❤❤❤,positive
الاسطوورة ❤️❤️,positive
الا سطورة ❤❤❤,positive
❤💚🤗,positive
❤❤❤💛,positive
