tweets,type,class
الله يخلف عليك سيدي محمد,positive,dialectal
هجومك يا أخي على حسن طارق تبرهيش و قلة عقل ودليل انعدام غرام ديال المنطق,negative,dialectal
شكرا يوسف سفري بوعميرة وبنحليب ديما راجا,positive,dialectal
الله يخلي لنيا العونيات ,positive,dialectal
حدراف لاعب كبير وغادي يبقى كبير وبلاصتو كاينة في الرجاء وفي المنتخب دار خطأ آه ولكنه لاعب أكثر من رائع,positive,dialectal
مبروك للوداد والوداديين ديما راجا ,positive,dialectal
جميل جدا السي يونس,positive,dialectal
المغرب مع المدرب الفرنسي رونار أفضل من البرازيل في الكرة واي لقاء بيناتهم غادي نربحو البرازيل بواحد لصفر ,positive,dialectal
شي نقابيين عوض يتحملو المسؤولية ويروينا حنة يديهم بداو يتهموا التلاميذ بالانخراط في مؤامرة كونية ضد عيش وماتحضيش ,negative,dialectal
حنا فاش كنا تلاميذ كنا كنديرو احتجاجات بعقلها وكنا عارفين معى التظاهر وعارفين أشنو الرسائل اللي بغينا نوصلو هاد الدراري ديال دابا زايغين وصافي وماعندهمش الوعي اللازم لخوض معركة نضالية,negative,dialectal
هادو كيبينو انهم ماشي غير كيشجعو فرقة دالكورة هادو ناس يترفع ليهم الشابو,positive,dialectal
الشعب مقهور والتعليم رجع اللور,negative,dialectal
دانون سونطرال بدأت تواصلها مع المغاربة بنعتهم الخونة وأنهته بنقص دريال والنشطاء يشيدون بحكمة الشركة,negative,dialectal
حمدو الله وشكروه الوقفة كانت في الليل اما كون الداودي فطر المغاربة فطر المغاربة قبل العصر ,positive,dialectal
مصاصو الدماء أنا الاسبوع الفائت ديت لمرا لطبيبة خمسة دقايق ب المنكر بعينه,negative,dialectal
أجدادنا حررو الصحراء من الاستعمار وأشباه الرجال والمغنيين بغاو إحرروها بالشطيح والأغاني,negative,dialectal
الشمايت د الحكومة,negative,dialectal
والله أنتم عالم تضحكون على أنفسكم,negative,dialectal
المخزن والتراكتور وجهان لعملة واحدة,negative,dialectal
الله ارحمو ووسع عليه,positive,dialectal
سيوران راه مريض شوية أصلا كان يفوز بجوائز كبيرة في الأدب وفي الفلسفة ولا يذهب لتسلمها ,negative,dialectal
الله اعطيك الصحة اخويا زهير ,positive,dialectal
حتى هما زوينين ,positive,dialectal
شكرا لهلة اخطيك ,positive,dialectal
الله ايجازيك بالخير السي عادل ولو انك كتقولي منشكركش لكن معندي مندير ,positive,dialectal
الله اسخر السي عادل,positive,dialectal
الله أحسن لعوان كنقدر الظرفية مهم راه قرارك صحيح,positive,dialectal
الله اعطيك الخير اخويا والله ارحم والدينا ووالديك اخويا شكرا ,positive,dialectal
مرحبا صديقي ساتواصل معك الله اعطيكم الخير,positive,dialectal
واحد الصفر اشجعهم كمغاربة ,positive,dialectal
أكيد غادي توصل ,positive,dialectal
متفقدش الأمل صديقي راه المستقبل افضل اكيد ,positive,dialectal
متقولش هكاك والله هذا من كرمك صديقي وانت قمت بأكثر من الواجب والله اكثر من امثالك الله يعطيك الخير,positive,dialectal
كون أكيد انهم فرحانين بكم وقابلين على حتى النص فهدش ولا الربع ديالو وشكرا لك وعبرك الشكر لكاع ولاد الشعب اللي كيفكرو فولاد الشعب,positive,dialectal
تعجز الكلمات عن وصف هاد الشعور اقسم بالله الا اختالطات المشاعر ديالي فرحان بكم لأن هدش كيغير حتى النظرة ديال التلميذ للإنسان ويقول شوف راه الناس فالمغرب كامل كيفكرو فيا وكيعانوني وكيزرع فيه حب الخير تحية عالية لكم من اللخر,positive,dialectal
إلى اللي يستحق الشكر هو انتما على المجهودات ديالكم والتضحيات ديالكم على ود ولاد الشعب تحياتي لكم,positive,dialectal
والله حتى شكرا لكم جميعا تحية لولاد الشعب ,positive,dialectal
الحمد لله دازت بخير مبغينا نسمعوا عليك غير لخبار الزينة صديقي,positive,dialectal
راك حشمتيني انت والله ومساعدتك للتلاميذ جميلة ورائعة شكرا لك ربيعة ,positive,dialectal
الله اخلي ليه صحتو أما الإعتراف فهاد لبلاد راه مكاينش والله اخليك ليه تهلا فيه,positive,dialectal
اليوم نعرفو واش عندنا منتخب قوي ولا غير اشاعة الكامرون اختبار حقيقي بالتوفيق للمنتخب,positive,dialectal
بصحتك رد بالك راه مزال فيها شهرين,positive,dialectal
راك عزيزة وغالية والله ,positive,dialectal
شكرا للمنتخب الوطني فرجتونا,positive,dialectal
مكتميزش بين ضربة جزاء وتسلل وتنتقد المدرب الزمر هدا,negative,dialectal
رونالدو كون راجل ومتنكرش العشرة خيرنا سابق,positive,dialectal
اختي راه الكبت والجهل راه كينتجو الوحوش البشرية,negative,dialectal
لايهم الخسارة جزء من اللعبة والمهم اللاعبين يراكموا التجربة ونستافدو من هاد المونديال للاستحقاقات قادمة برافو المغرب رغم الخسارة رغم كل شيء,positive,dialectal
راه حتى التعادل زوين خصوصا الى ربحنا,positive,dialectal
ضحكتني الله امسخك ,positive,dialectal
برامج رمضان عندما يغيب المعنى يصبح الكوميدي مهرجا تعواج الفم ماشي فن,negative,dialectal
البركة فراسك الله يرحمها ووسع عليها,positive,dialectal
واحد التلميذ قالوا الأستاذ جيب ولي أمرك خرج لقي واحد لمرة كبيرة رغبها تدخلوا مشى عند الأستاذ قالو هالواليدة ديالي صدقات هديك لمرة خالت الأستاذ شدو الأستاذ وعلقوا فالباب,positive,dialectal
وحتى هاديك ضربة جزاء ياك البطولات العربية فيها بزاف ديال التخربيق,negative,dialectal
صافي انا مرضت مقديتش نتحرك من بلاصتي نشف لية لدم فركابية وبزاف امي فتيحة حرقات راسها وهدا طحنوه فالماكينة,negative,dialectal
اتمنى لك التوفيق الشاف,positive,dialectal
خلي هذا التوقع للتاريخ هذه السنة لديهم فريق شاب ومتحفز ومدرب خبير,positive,dialectal
شرف لي نتلاقى بعلاء الظرافات حوار شيق داز معاه تسناوني قريبا على شوف تيڤي ,positive,dialectal
شكرا خويا هشام على الإستظافة القادم احلى ,positive,dialectal
حبابي تسناوني غدا على ميدراديو مع الإعلامي هشام شبطيط على الساعة التاسعة مساء ,positive,dialectal
حبابي كنموت عليكم بغيتكم تبانو كاملين هنا الجيش المهذب ,positive,dialectal
وصلاتني هاد الحلوى هدية من عند شكرا بزاف وتبارك الله عليك ساندوها و لي بغاها تصاوب ليه شحاجة دخلو عندها ,positive,dialectal
أجمل إحساس فاش كنغني فأي بلاصة وتيجيو يتصورو معايا الناس الزوينين كنبغيكم بزاف وكنموت عليكم خليكم فجنبي حبابي ,positive,dialectal
هاي نهاركم مبروك وسلامي لهاد الفن الجميل لي كيكون فالشارع تحياتي الخالصة نسرين كتسلم عليكم ,positive,dialectal
انت خويا خويا بوگوص سمعو الأغنية كاملة كنتمنى تعجبكم,positive,dialectal
هاد السيد كنقدرو و كنحتارمو على الخدمة ديالو بالنسبة ليا من أحسن الناس لي كيديرو الحلاقة و الموضة زوروه وماغاديش تندمو شكرا جمال أكبر تحية ليك ,positive,dialectal
الموسيقى لاقاتني بناس زوينين و خايبين ناس كيبغيو ليا الخير وناس كيبغيو يطيحوني ناس كيشجعوني وناس كيحاربوني ولهذا كنبغي نقوليكم كنحبكم و كنموت عليكم خليكم معايا يا أغلى الناس ,positive,dialectal
أحسن رفيسة عمية بطريقة لالة زهرة,positive,dialectal
سلام وجوه الخير هاد الأغنية كنهديها لوليدات مدينة الجديدة لي ماتو الله يرحمهم وجمهور الدفاع الحسني الجديدي تحية ,positive,dialectal
هادشي لي مخليني نكمل ونتقاتل باش نوصل داكشي لي بغيت شكرا بزاف الحبيب كلام زوين فحقي صراحة دموعي بغاو يهبطو فاش سمعتو كملو المساندة ديالكم ليا عام ديال الكفاح و مازال أحبكم,positive,dialectal
الحمد لله كاين ناس زوينين كايبغيوني كنبغيكم بزاف والقادة أحلى حبابي ,positive,dialectal
أول فنان مغربي يغني لأطفال الشوارع سمعو لميمة شنو قالت ليا,positive,dialectal
عمري فحياتي ننسا هاد النهار كانطلب المساعدة,negative,dialectal
حبابي أنا رجعت للإنتاج من بعد عامين كيف كتعرفو الموسيقى بوحدها فالمغرب منقدروش نعيشو بيها فلهذا إلا حتاجيتو أي حاجة فالسمعي البصري مرحبا بيكم تاصلو بيا أنا رهن إشارتكم ,positive,dialectal
الحمد لله كلشي داز مزيان كان جمهور فالمستوى شكرا ليكم بزاف على تشجيعاتكم شكرا لأعضاء الجمعية كااملين شكرا طارق أحرار رئيس الجمعية شكرا الأمن اكبر تحية ليكم كنبغيكم حبابي ,positive,dialectal
أجمل إحساس عندي فاش كنطلع فوق الخشبة وكنغني قدام بزاف ديال الناس و كيفرحو وكيغنيو معايا كنتمنى نكون ديما عدد حسن الظن ديالكم احبكم حبابي ,positive,dialectal
عيت ما نصبر ولكن عصبني هاد السيد تشا مالك,negative,dialectal
بلاد كحلة,negative,dialectal
حبابي آش باب ليكم فهاد الستيل نبدي نديرو مرة مرة ,positive,dialectal
أكبر تحية لأعز الناس لي كيبغيوني ,positive,dialectal
أحسن هدايا من عند احسن وليدات,positive,dialectal
تفاصيل الشاب اللي قتلوه بلا رحمة ولا شفقة,negative,dialectal
شكرا لكم على رسائلكم في يوم ميلادي فرحة لاتوصف عندي أصدقاء مثلكم يحبونني وأحبهم وعائلتي كنموت عليكم ,positive,dialectal
شكرا ليكم كاااملين على الدعم ديالكم أحبكم وسأظل أحبكم خليكم فجنبي يا أغلى الناس دخلو شوفو آخر أعمالي هنايا وتابعوني باش يوصلكم الجديد ,positive,dialectal
كنبغي موسيقتي رغم الصعاب والعراقل لي كندوز غادي نكمل ونكافح وإنشاء الله بيكم نتوما غادي نوصل كنتمنى تكونو فجنبي أحبكم يا أغلى الناس ,positive,dialectal
هاد البنية عزيزة عليا بزاف وماماها الله يخليها ليها تحية واش عرفتوها الفاشنيستا الصغيرة محاسن شكرا جلال على الصور ,positive,dialectal
مشيت لأحسن شاطئ فالمغرب,positive,dialectal
شكرا بزااف نور الهدي والله يخلي ليكم جاد هادشي كيحفزني نزيد نخدم شكرا ليكم بزاف على الدعم ديالكم ديرو تانتوما ڤيديوات و صيفطوهالي الدار,positive,dialectal
سررت بلقائك أخي وصديقي الفنان حديفة شكرا على حسن الضيافة تطوان سيتي,positive,dialectal
الحمد لله كلشي داز مزيان تسناو الصور والڤيديو ومفاجئة زوينة ,positive,dialectal
استمتع بوقتك عيش حياتك كلشي فايت ,positive,dialectal
غادي طيح وتنوض ولاكن متشوفش وراك شوف قدامك وفكر إيجابي الطريق مازال طويلة سييييير ,positive,dialectal
غادي يجي واحد الوقت غادي تبقى هاد الصورة غير ذكرى كنموت عليكم ,positive,dialectal
الصيف صيف تحياتي ليكم حبابي ابن جرير,positive,dialectal
 لحضات لقائي ب زوجي بعد سنة ونصف سنعيش تحت سقف واحد,positive,dialectal
إنسان لاقاتني بيه الوقت صدفة ولاكن أصبح أعز صديق عندي بمثابة أخ انسان كيبغي الخير لغيرو طموح وعندو عزيمة و إرادة شكرا أخي مراد على الكل راك عزيز ,positive,dialectal
الأصدقاء لي كيكونو معاك فاش كتكون بيخير و فاش كيوقعو ليك مشاكل و كطيح أون پان كيخويو بيك و كيقلبو عليك ليسو أصدقاء بل أصحاب الحاجة الله يلاقينا بما أحسن ,positive,dialectal
بالتوفيق للمغرب اختي الصغيرة قالت لي نحط هاد الصورة شحال تستاهل من جيم ابن جرير,positive,dialectal
أحسن حاجة وقعات ليا هاد الأسبوع تصورو معايا أطفال الصم والبكم و كبرو بيا,positive,dialectal
كنشوفكم يا أعز الناس كنموت عليكم ابن جرير,positive,dialectal
وأخيرا حبابي الجديد فهاد الأيام كونو على بال كنبغيكم,positive,dialectal
هناك اشياء بداخلنا لا تتغير مهما فعلنا ,positive,dialectal
حبابي توحشتكوم شكون كيتسنا الجديد ,positive,dialectal
حبابي الناس الزوينين بغيت نعرف كل واحد فيكم من إنا مدينة فكومنطير,positive,dialectal
حبابي بداية أسبوع موفقة كنموت عليكم ,positive,dialectal
صاحبك لي بصح صاحبك كيبغيك فوجهك و حتى فظهرك ,positive,dialectal
ولد بلادك فاش كيكبر بيك كتفرح وكتحس بيه باغي ليك الخير,positive,dialectal
فاش كنقول غادي نوصل يعني بيكم نتوما و الدعم ديالكم كنفرح فاش كنشوفكم,positive,dialectal
الحمد لله كلشي داز مزيان شكرا الجمهور لي كان زوين بزاف ,positive,dialectal
أمي الحبيبة كل عام وأنت بخير سنة سعيدة وكل عام وأنت حبيبتي كنبغيك,positive,dialectal
فالتعامل كيفما غادي تشوفني ليوما غادي تشوفني غدا بس كيفما,positive,dialectal
الناس الزوينين ,positive,dialectal
خلي حياتك فيها الألوان ماشي كحل و بيض,positive,dialectal
الحياة زوينة وبزاف عيش و نصيحة بغي الخير للناس تلقاه,positive,dialectal
ستاغلو وقتكم فحوايج زوينين باش تكونو فرحانين ,positive,dialectal
الطبيعة فبعض الأوقات كتخليك مرتاح نفسيا شكرا لكل الناس لي كيسولو فيا و كيدعموني كنبغيكم,positive,dialectal
النفاق فالحياة ديالنا والكذوب ولينا كنعيشوه يوميا حتى ولينا كنشكو ومكنتيقوش,negative,dialectal
نصيحة من القلب إلى القلب إلى كانت عندك شحاجة فقلبك وبغيتي تقولها متخبيهاش الصراحة راحة,positive,dialectal
الهضرة بزااااف بلاش الفعل أحسن بس كلشي فالإيجابيات ,positive,dialectal
صفي نيتك ومتخليش الأفكار السلبية تلعب ليك على العقلية ديالك ,positive,dialectal
سلام انا فرحان حنت عرفت بزاف ديال الناس جداد فحياتي فهاد السنة ودازو بزاف ديال اللحظات,positive,dialectal
لي كتبغيه لراسك بغيه لغيرك ,positive,dialectal
كتبولي الأغنية لي كتعجبكم فكومنطير ,positive,dialectal
نصيحة اليوم تيق فراسك وحط هدف قدامك وخدم عليه مزيان وحيد عليك الناس لي تهرسك وتهضر فضهرك,positive,dialectal
سلام وجوه الخير غادي نديرو الغربال شويا لي كيتسنا الجديد يبان هنايا قريبا المفاجأة,positive,dialectal
عيد أضحى مبارك ابن جرير,positive,dialectal
تهنئة خاصة يسرنا ويسعدنا أن نتقدم إليكم بأصدق التهاني والتبريكات بمناسبة قرب عيد الأضحى,positive,dialectal
ليلة سعيدة تحياتي ليكم يا أحسن فانز ,positive,dialectal
سلام حبابي توحشتكم واش كاين شي صهد عندكوم كنبغيكم بزاف بون ويكاند تسناو الجديد,positive,dialectal
 خالقين السعادة ,positive,dialectal
نهاركم مبروك يا أغلى الناس ,positive,dialectal
الحياة كل واحد وكيف كتجيه الحاصول تهلاو فراسكم واليديكم وحتى لي كيبغيكم أحبكم يا أغلى ناس,positive,dialectal
كوكو مبروك عيدكم بكل ماتمنيتو فحياتكم كنبغيكم حبيبتي أختي الصغيرة نسرين ,positive,dialectal
بصحة فطوركم ,positive,dialectal
كنهديها لكل الأمهات ورمضان مبارك سعيد مدينة ابن جرير,positive,dialectal
الحمد لله الأب ديالي بخير كنشكر أي واحد صيفط ليا,positive,dialectal
دعواتكم مع أبي الله يشافيه يا ربي,positive,dialectal
أختي حبيبتي نسرين أحبك وسأبقى أحبك إلى الأبد قولو ليها بصحة البيسيكليت ,positive,dialectal
شكرا مراكش تحياتي مراكش,positive,dialectal
وجوه الخير ناس ديال مراكش موعدنا ليوما مع فدار الثقافة الداوديات بمراكش جيو بزاف كنبغيكم,positive,dialectal
