tweets,type,class
عبقرية المدرب وروعة اللاعبين,positive,standard
أمة عربية واحدة خالدة ,positive,standard
الله يخلف عليك سيدي محمد,positive,dialectal
هجومك يا أخي على حسن طارق تبرهيش و قلة عقل ودليل انعدام غرام ديال المنطق,negative,dialectal
شكرا يوسف سفري بوعميرة وبنحليب ديما راجا,positive,dialectal
الجالية الإماراتية المقيمة في المغرب قلوبنا معكم و لن نترككم ويمكنكم في الهزائم أن تراهنوا علينا وكفى,positive,standard
متى تعلن الدولة انتصارها على المجتمع من خلال حربها المفتوحة على أبنائه والذين من بينهم اعتقلته غربته بعيدا عن أهله جردته من ثيابه بطريقة مهينة أدانته ب سجنا نافذة واليوم تخفي عنه جلطة دماغية تهدده بالشلل,negative,standard
الله على أخلاقك يا فخر العرب,positive,standard
انقلاب فاشل في فينزويلا رئيس البرلمان ينصب نفسه رئيسا الجيش يرفض الانقلاب أمريكا وكولومبيا والبرازيل تعترف بالمنقلب رئيسا والاتحاد الأوروبي يدعو للتهدئة ولانتخابات حرة هذا الغرب الامبريالي وضيع جدا,negative,standard
الله يخلي لنيا العونيات ,positive,dialectal
اول مداخل هذا التغيير الذي سيدعمه كثيرةن هو الصراحة والوضوح للأسف إنها تغرق في الغموض,negative,standard
حدراف لاعب كبير وغادي يبقى كبير وبلاصتو كاينة في الرجاء وفي المنتخب دار خطأ آه ولكنه لاعب أكثر من رائع,positive,dialectal
مبروك للوداد والوداديين ديما راجا ,positive,dialectal
بلاغ مشترك من مجموعات ألتراس الرجاء والوداد بمقاطعة مباراة الديربي احتجاجا على إغلاق مركب محمد الخامس,negative,standard
جمهور الكرة رجل السنة في المغرب,positive,standard
جميل جدا السي يونس,positive,dialectal
قراران لمجلس الشيوخ الأمريكي هذه الليلة إدانة ولي العهد محمد بن سلمان واعتباره مسؤولا عن جريمة وقف الدعم الامريكي للسعودية في حرب اليمن,negative,standard
من اجمل ما سمعته في الملاعب العربية والعالمية نبض الشعوب تحية لأهلنا في المغرب,positive,standard
هادي آخر كلمة عندي نكتبها من قلبي والدمعة في عيني,negative,standard
المغرب مع المدرب الفرنسي رونار أفضل من البرازيل في الكرة واي لقاء بيناتهم غادي نربحو البرازيل بواحد لصفر ,positive,dialectal
رحمها الله ورزقكم الصبر واسكنها الفردوس الاعلى من الجنة,positive,standard
يا راجل اتق الله عيب عيب ,negative,standard
شي نقابيين عوض يتحملو المسؤولية ويروينا حنة يديهم بداو يتهموا التلاميذ بالانخراط في مؤامرة كونية ضد عيش وماتحضيش ,negative,dialectal
حنا فاش كنا تلاميذ كنا كنديرو احتجاجات بعقلها وكنا عارفين معى التظاهر وعارفين أشنو الرسائل اللي بغينا نوصلو هاد الدراري ديال دابا زايغين وصافي وماعندهمش الوعي اللازم لخوض معركة نضالية,negative,dialectal
هادو كيبينو انهم ماشي غير كيشجعو فرقة دالكورة هادو ناس يترفع ليهم الشابو,positive,dialectal
الشعب مقهور والتعليم رجع اللور,negative,dialectal
دانون سونطرال بدأت تواصلها مع المغاربة بنعتهم الخونة وأنهته بنقص دريال والنشطاء يشيدون بحكمة الشركة,negative,dialectal
عيد مبارك سعيد وكل عام وأنتم بخير تقبل الله منكم ورزقا سعادة وفرحا وحبورا ,positive,standard
قلب الأم باختصار الله يسمح لينا من الوالدين,positive,standard
حمدو الله وشكروه الوقفة كانت في الليل اما كون الداودي فطر المغاربة فطر المغاربة قبل العصر ,positive,dialectal
مصاصو الدماء أنا الاسبوع الفائت ديت لمرا لطبيبة خمسة دقايق ب المنكر بعينه,negative,dialectal
أنتم نهايتكم ستكون مأساوية أكيد لأنكم بايعتم مدينة رسول الله مقابل أن يحكمكم ديكتاتوري وسجنتم عدد كبير من العلماء وقتلتم الصحفيين والان فتحتم السعودية للمغنيين والراقصات,negative,standard
وأنت أيها السعودي البغل الحمير إدفعوا لترامب مقابل حمايتكم لم تقدروا على حمايتكم من قبل مجموعة من المليشيات الحوثية واستعينتم بالتحالف لقتل الأطفال اليمنيين,negative,standard
ثانيا البربر أمازيغي أشرف من دبابكم ونحن لانطالب أحد أن يحمينا كما فعلتم أنتم عند ما باعتم كل جزركم مقابل الحماية,negative,standard
لاحول ولا قوة إلابالله العلي العظيم اللهم أرحمها رحمة واسعة ونسأل الله أن يأخد الحق في كل هؤلاء المجرمين,negative,standard
أتمنى من كل قلبي أن يضربكم زلزل مدمر إن شاء الله,negative,standard
ثلاثة أسابيع كافية ليخرج الرئيس ويتحدث عن عدد من الإجراءات لحركة الاحتجاج أما نخن في المغرب عدد السينيين ونحن نحتج ولم يسمعنا أحد زيادة على عدد كبير من الزيادات الصاروخية في الأسعار,negative,standard
إذا كان لديك مثل هذا الخائن الكبير في البلد ماعليك إلا أن ترحل,negative,standard
أجدادنا حررو الصحراء من الاستعمار وأشباه الرجال والمغنيين بغاو إحرروها بالشطيح والأغاني,negative,dialectal
شكرا لك على مساعدتي في الوصول إلى متابعا من تظن أيضا أنه ينبغي له متابعتي,positive,standard
الشمايت د الحكومة,negative,dialectal
أنثم من أثر عليكم حليب البعير ياصهاينة العرب ,negative,standard
والله أنتم عالم تضحكون على أنفسكم,negative,dialectal
العالم لديه حجة على نضامكم القمعي لولا أبو ايفانكا الدي يبتزكم بتصريحاته ولعلمك أنا لست ضد الشعب السعودي ولكن ضد سياسات المسؤولين المتهورة,negative,standard
قناتكم معروفة ورئيسكم باعكم لأمريكان مقابل الحكم وعلمائكم في السجون,negative,standard
قناة العربية تستحمر الشعوب,negative,standard
لعنة الله على الخسيس المجرم,negative,standard
هكدا يتكلم أشباه الوزراء في المغرب,negative,standard
قنوات العار والفساد المغربية,negative,standard
العصابات الديكتاتورية,negative,standard
نتمنى السي رئيس حكومتكم إسقاط حكومتكم في أقرب الاجال وتقبلو مروري وشكرا,negative,standard
الغرب كان يقتل المسلمين مباشرة واليوم يستخدم أشباه المسلمين لقتل ماتبقى من امسلمين,negative,standard
مسلسل جديد من الصراع والتصريحات النارية بين ءال عيوش وءال الحدوشي وجماعته ,positive,standard
حسبنا الله ونعم الوكيل في كل طاغية,negative,standard
المخزن والتراكتور وجهان لعملة واحدة,negative,dialectal
وزارة الأوقاف في المغرب تشبه ماتفعلها نضيرتها السعودية كل من يقول كلمة الحق إلا واجهوه بالإيقاف أو السجن,negative,standard
القضاء الفرنسي شبيه بقضاء دول العربية ةلديكتاتورية,negative,standard
صباح الخير من تمزيرت,positive,standard
هل السعودية دولة متى تم التصويت على دستورها أين مؤسساتها المنتخبة السعودية ليست دولة ولا ينطبق عليها مفهوم الدولة هي مجرد قبيلة وينطبق عليها مفهوم القبيلة اكثر من مفهوم الدولة كما تم التأصيل لها في الفلسفة السياسية وكما هو متواضع عليه في العلوم السياسية,negative,standard
مرض التفكير ليس له علاج حتى ولو استطعت أن تنام ستحلم بما تفكر به,negative,standard
كان يغرر بالمغرر بهم ورفع شعارات محاربة الريع ومارس دغمجة على الجميع بعبارات التماسيح والعفاريت لكنه هو الريع في أبهى تجلياته,negative,standard
أحييكم عاليا والله إلا انتم اشخاص تضحون بوقتكم وجهودكم وكل ما تملكون لنشر البسمة على وجوه أبناء هذا الوطن ,positive,standard
تحياتي العالية لكم جميعا ,positive,standard
للمرة العاشرة أشعر باهانة شديدة حين اقرأ كانط وهيجل إذ احتار بين كوني غبيا أو جاهلا,negative,standard
في نظري تصرفه غير لائق تماما,negative,standard
 التعادل فهاد الظروف وفالكامبنو راه فوز عريض,positive,standard
تعادل بطعم الإنتصار ,positive,standard
الله ارحمو ووسع عليه,positive,dialectal
العلاقة جدلية لو لم يكن الجهل لما كان الاستبداد ولو لم يكن الاستبداد ماكان الجهل بقدر ماتصنع الشعوب اصنامها بقدر ماتساهم هذه الأصنام في ترسيخ التبعية والجهل,negative,standard
سيوران راه مريض شوية أصلا كان يفوز بجوائز كبيرة في الأدب وفي الفلسفة ولا يذهب لتسلمها ,negative,dialectal
الكتاب دائما إذا قرأت ولو صفحة واحدة فهذا أفضل من لاشيء,positive,standard
الله اعطيك الصحة اخويا زهير ,positive,dialectal
حتى هما زوينين ,positive,dialectal
ارجو له الشفاء العاجل يارب,positive,standard
والجانب المشرق سيكون لدي تلاميذ عباقرة ,positive,standard
شكرا ارجو لك كل التوفيق أيضا,positive,standard
شكرا لك على كل شيء ,positive,standard
ستكتمل إن شاء الله بفضلكم ونحن بدورنا نقوم بمجهودتنا,positive,standard
شكرا لهلة اخطيك ,positive,dialectal
