sentence,label
طوال حياتي لم المس اي تغير حتى قدمت هذه الحكومة فل نقف بجانها بصوتنا,positive
منتوج رائع  وثمن مناسب ....جميل,positive
كلنا ابن كيران لمتافق معايا يدير جيم,positive
وفقك الله لولاية اخرى حقاش مكينش محسن منك,positive
لأنه و بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله الله في ميزان حسناته,positive
صدق من قال بن كيران أحسن رئيس حكومة مند الاستقلال  تحياتي لك .,positive
"""حبنا لك لن ينتهي،",positive
"""تحية حب وإحترام من الفايسبوك إلى الملك الهمام ",positive
أقـول: ملكنا واحد،، محمـد ,positive
"_,""أَحْــسَـنُ ثُنَــائِي مَـلَــكِي فِــي الـعَـالَــــمِ.",positive
",""إبتسامة مـــلــــك : أعشقـــــــــــــــــــــــــك ، ",positive
مغربنا وطنـــنــا روحــي فــداه...........ومـــن يدس حقوقه يـــــــدق رداه,positive
أعشـقـك يا مـلكي أينما تكــــون وحيثما تكـــــــــــون,positive
حفظك الله لنا و شافاك و عافاك و بارك في عمرك يا حبيب الملايين♥,positive
شكرا يا محمد السادس...♥,positive
"""الصحراء مغربية شاء من شاء و أبى من أبى",positive
"_,""ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي",positive
و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة,positive
و ما شعــارنـا الخــالـد غـصـبا عــن كــل حــاقــد,positive
الـــــــلــــــــــه الـــــــوطـــــــــن الــــــمــــلـــــك,positive
أتقدم بأحر التهاني الى جمـيع المغاربة الأمازيغيين،،,positive
أَحْـــسَـــــنْ مَــــلِــــــك فِـــــي الـعَــــــالَـــــم,positive
أعـشـقك عـنـدما أكـــــــــون أو لا أكـــــــــــــــــون ,positive
"""شكرا للجمهور و للكوموندو الطاوسي و اللاعبين على التأهل المعجزة للمغرب",positive
أعـشــقك فــي كل مديـنة في كل مكان في الكـــون,positive
مليون جيم لأعز و أغلى الناس.,positive
"_,""أحسن فيديو في العالم عن المملكة المغربية الشريفة.",positive
أحسن فيديو في العالم لأحسن مــلــك فــي الــعالــم.,positive
"مـــلــكــنا واحد محمد السادس"",أحــســن فيديو في العالم عن المغرب",positive
أتـــرك تـــهــنــئــتــك لـلأميرة الغالية.,positive
واحــلم بـــشـمـــس مـــضـــيــئــة فــي غد جــمــيـــــل,positive
إذا السماء تفخر بوجود النجوم فيها .. فلابد للأرض أن تفخر بوجود محمد السادس عليها,positive
"عذرا """"فيثاغورث"""" : المملكة المغربية هي المعادلة الأصعب",positive
"-عذرا """"نيوتن"""" : مـــــــــــراكــــش هـــي التـي تجـــذبـــنــا",positive
"عذرا """"ديكارت"""" : أنا مـــــــــغــــــــــربـــــــــي إذاً أنا موجود",positive
"عذراً """"دافنشي """": الفـتاة الـمـغـربـيـة أجـمـل من الموناليزا",positive
